         Name          Gender     Prelim Score        Major
  Alice Mooresmarter     f             97              math
  Billy Bangalootoo      m             92            science
    Bob Biggislap        m             74              art
  Chris Cannonmannor     m             20            science
   Cindy Supershop       f             81            science
   Elmer Thudpucker      m             37              math
  Gina Graphsbetter      f             85              art
   Guido VanRossum       m             87              art
      John Zelle         m            100            science
    Richy Cashmore       m             65            business
    Ruby Diamonds        f             42            business
    Sammy Sunpower       m             90            science
  Susan Computewell      f             99            science
    Tiffany Towers       f             78              art
    Tina Turbulent       f             35              art
    Tommy Gunsmith       m             82              math
     Tony Tornado        m             41            science
  Veronica Versache      f             89              math
   Zenna Starpower       f             79              art
